date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-09-01,11.28,11.39,11.21,11.15,959976.88,-0.07,-0.62,11.388,11.099,10.807,1234072.0,1065253.72,1040269.47,0.57
2017-08-31,11.39,11.44,11.28,11.15,1151786.5,-0.15,-1.31,11.368,11.022,10.805,1234864.62,1030908.07,1059968.2,0.68
2017-08-30,11.68,11.7,11.43,11.35,1096674.75,-0.24,-2.06,11.298,10.936,10.792,1189357.05,971093.63,1051589.85,0.65
2017-08-29,11.3,11.74,11.67,11.28,1357983.62,0.32,2.82,11.192,10.827,10.778,1233852.47,937106.76,1099859.57,0.8
2017-08-28,11.1,11.54,11.35,11.1,1603938.25,0.24,2.16,10.988,10.691,10.746,1137392.11,908824.63,1133745.88,0.95
2017-08-25,10.94,11.17,11.11,10.9,963940.0,0.18,1.65,10.81,10.578,10.712,896435.44,864197.27,1132342.19,0.57
2017-08-24,10.89,11.11,10.93,10.84,924248.62,0.03,0.28,10.676,10.469,10.694,826951.51,1011867.59,1125104.95,0.55
2017-08-23,10.63,10.98,10.9,10.59,1319151.88,0.25,2.35,10.574,10.438,10.677,752830.21,1015430.73,1138617.04,0.78
2017-08-22,10.48,10.66,10.65,10.37,875681.81,0.19,1.82,10.462,10.421,10.669,640361.04,987747.73,1157530.05,0.52
2017-08-21,10.43,10.52,10.46,10.39,399154.88,0.02,0.19,10.394,10.461,10.686,680257.15,969136.29,1211484.38,0.24
2017-08-18,10.36,10.6,10.44,10.29,616520.38,0.02,0.19,10.346,10.515,10.711,831959.1,1015285.23,1276159.86,0.36
2017-08-17,10.35,10.42,10.42,10.29,553642.12,0.08,0.77,10.262,10.588,10.733,1196783.67,1089028.34,1320384.84,0.33
2017-08-16,10.29,10.37,10.34,10.15,756806.0,0.03,0.29,10.302,10.647,10.761,1278031.25,1132086.06,1369569.66,0.45
2017-08-15,10.24,10.51,10.31,10.21,1075162.38,0.09,0.88,10.38,10.728,10.798,1335134.41,1262612.38,1428383.16,0.64
2017-08-14,10.13,10.25,10.22,10.04,1157664.62,0.2,2.0,10.528,10.801,10.835,1258015.42,1358667.13,1492096.63,0.68
2017-08-11,10.48,10.54,10.02,9.99,2440643.25,-0.6,-5.65,10.684,10.846,10.865,1198611.35,1400487.1,1597869.56,1.44
2017-08-10,10.7,10.82,10.62,10.54,959880.0,-0.11,-1.02,10.914,10.918,10.909,981273.0,1238342.31,1561965.91,0.57
2017-08-09,10.96,11.02,10.73,10.68,1042321.81,-0.32,-2.9,10.992,10.915,10.923,986140.88,1261803.35,1663698.63,0.62
2017-08-08,11.0,11.11,11.05,10.91,689567.44,0.05,0.46,11.076,10.916,10.903,1190090.34,1327312.38,1761524.75,0.41
2017-08-07,11.06,11.17,11.0,10.9,860644.25,-0.17,-1.52,11.074,10.911,10.863,1459318.83,1453832.48,1917650.72,0.51
2017-08-04,11.0,11.29,11.17,10.93,1353951.5,0.16,1.45,11.008,10.906,10.793,1602362.85,1537034.5,1942659.3,0.8
2017-08-03,11.14,11.22,11.01,10.97,984219.38,-0.14,-1.26,10.922,10.878,10.708,1495411.63,1551741.35,1912980.21,0.58
2017-08-02,11.05,11.34,11.15,10.96,2062069.12,0.11,1.0,10.838,10.874,10.627,1537465.83,1607053.26,1900714.83,1.22
2017-08-01,10.64,11.08,11.04,10.6,2035709.88,0.37,3.47,10.756,10.868,10.538,1464534.43,1594153.94,1825997.37,1.2
2017-07-31,10.8,10.82,10.67,10.45,1575864.38,-0.07,-0.65,10.748,10.869,10.453,1448346.13,1625526.13,1748630.01,0.93
2017-07-28,10.61,10.81,10.74,10.58,819195.38,0.15,1.42,10.804,10.883,10.39,1471706.15,1795252.01,1689254.26,0.48
2017-07-27,10.72,10.77,10.59,10.53,1194490.38,-0.15,-1.4,10.834,10.899,10.322,1608071.08,1885589.5,1673276.16,0.71
2017-07-26,10.92,11.18,10.74,10.66,1697412.12,-0.26,-2.36,10.91,10.93,10.264,1676640.7,2065593.91,1637991.87,1.0
2017-07-25,10.98,11.27,11.0,10.95,1954768.38,0.05,0.46,10.98,10.89,10.199,1723773.45,2195737.13,1611561.08,1.16
2017-07-24,10.82,11.06,10.95,10.73,1692664.5,0.06,0.55,10.99,10.815,10.117,1802706.13,2381468.96,1541123.46,1.0
2017-07-21,10.83,10.95,10.89,10.69,1501020.0,0.08,0.74,10.962,10.679,10.034,2118797.88,2348284.1,1492028.73,0.89
2017-07-20,11.08,11.22,10.97,10.91,1537338.5,-0.12,-1.08,10.964,10.537,9.952,2163107.93,2274219.06,1446177.95,0.91
2017-07-19,10.99,11.19,11.09,10.88,1933075.88,0.04,0.36,10.95,10.38,9.866,2454547.13,2194376.39,1440658.93,1.14
2017-07-18,10.75,11.14,11.05,10.62,2349431.75,0.24,2.22,10.8,10.208,9.769,2667700.8,2057840.81,1368851.75,1.39
2017-07-17,10.95,11.33,10.81,10.72,3273123.25,-0.09,-0.83,10.64,10.037,9.673,2960231.8,1871733.88,1267060.94,1.93
2017-07-14,10.81,10.94,10.9,10.66,1722570.25,0.0,0.0,10.396,9.896,9.589,2577770.33,1583256.5,1127890.02,1.02
2017-07-13,10.3,10.9,10.9,10.24,2994534.5,0.56,5.42,10.11,9.745,9.495,2385330.2,1460962.82,1056061.06,1.77
2017-07-12,10.27,10.58,10.34,10.2,2998844.25,0.09,0.88,9.81,9.598,9.402,1934205.66,1210389.83,923224.23,1.77
2017-07-11,9.61,10.46,10.25,9.61,3812086.75,0.66,6.88,9.616,9.507,9.339,1447980.81,1027385.03,792054.23,2.25
2017-07-10,9.45,9.66,9.59,9.44,1360815.88,0.12,1.27,9.434,9.418,9.282,783235.97,700777.96,623871.64,0.8
2017-07-07,9.37,9.48,9.47,9.34,760369.62,0.07,0.74,9.396,9.389,9.258,588742.67,635773.37,581059.76,0.45
2017-07-06,9.36,9.41,9.4,9.31,738911.81,0.03,0.32,9.38,9.367,9.242,536595.44,618136.84,577314.68,0.44
2017-07-05,9.29,9.38,9.37,9.27,567720.0,0.03,0.32,9.386,9.352,9.229,486573.99,686941.48,559519.31,0.34
2017-07-04,9.4,9.41,9.34,9.3,488362.53,-0.06,-0.64,9.398,9.33,9.217,606789.24,679862.69,563419.47,0.29
2017-07-03,9.4,9.43,9.4,9.34,388349.38,0.01,0.11,9.402,9.308,9.202,618319.96,662388.0,556768.42,0.23
